,p.value,Case_rank,Control_rank,Enrichment,qnorm,Case_Mean1,Control_Mean1,Case_Mean2,Control_Mean2,OR,lower,uper,com,FDR
K10013,0.741104993125337,25,26,Control,-0.33,1.9816,-0.0742,0.172331147954542,-0.159074905804193,0.2658,0.011,6.4137,0.2658 (0.011;6.4137),0.953353727816876
K10014,0.824850115000099,26,25,Case,0.22,1.9015,0,0.172283505899733,-0.159030928522831,0.1135,0.0014,9.0198,0.1135 (0.0014;9.0198),0.989676920858447
K10015,0.777984908525877,25,26,Control,-0.28,1.8594,-0.0033,0.189840307116817,-0.175237206569369,0.1032,0.003,3.5892,0.1032 (0.003;3.5892),0.963665650259186
K10016,1,26,26,Control,0,1.9108,-0.0281,0.177663859995844,-0.163997409226933,0.1458,0.0039,5.398,0.1458 (0.0039;5.398),1
K10017,0.853222351579924,26,25,Case,0.19,1.8397,-0.0111,0.18258355377635,-0.168538665024323,0.0742,0.0013,4.3404,0.0742 (0.0013;4.3404),0.989676920858447
K10036,0.992323823710658,26,25,Case,0.01,4.9036,-3.2308,0.0828585289772463,-0.0764847959789967,0.8485,0.4793,1.5021,0.8485 (0.4793;1.5021),1
K10037,0.870072108910591,26,25,Case,0.17,1.9203,-0.0316,0.184253745018582,-0.170080380017153,0.166,0.0078,3.5499,0.166 (0.0078;3.5499),0.989676920858447
K10038,0.481825693345,27,24,Case,0.71,1.8774,-0.0998,0.220341026557027,-0.203391716821871,0.3047,0.0275,3.3743,0.3047 (0.0275;3.3743),0.809524782241824
K10039,0.0310242380331286,21,30,Control,-2.15,-0.5471,1.9849,-0.334408267598913,0.308684554706689,2.1476,1.0788,4.2752,2.1476 (1.0788;4.2752),0.264176087494216
K10040,0.0417054083587437,21,30,Control,-2.03,-1.092,2.2094,-0.251475589061288,0.232131312979651,1.7146,0.9089,3.2346,1.7146 (0.9089;3.2346),0.289363450587827
K10041,0.0239774387198149,21,30,Control,-2.24,-0.7192,1.9234,-0.32015386525585,0.295526644851554,2.0808,1.0493,4.1265,2.0808 (1.0493;4.1265),0.242798568658306
K10094,0.0103916236967218,20,31,Control,-2.53,-0.5639,1.9209,-0.272559202194218,0.25159310971774,2.0131,0.8791,4.61,2.0131 (0.8791;4.61),0.241203117614782
K10107,0.493947817024109,24,27,Control,-0.69,3.783,-1.4639,0.101920584531276,-0.0940805395673314,0.8114,0.4437,1.4838,0.8114 (0.4437;1.4838),0.818875142087166
K10108,0.401585867762527,24,27,Control,-0.84,-1.9547,3.82,-0.133525168565554,0.123254001752819,1.3139,0.7259,2.3782,1.3139 (0.7259;2.3782),0.744855635915974
K10109,0.205344088515694,23,28,Control,-1.27,-0.9903,2.5955,-0.195394780665103,0.180364412921634,1.5538,0.7877,3.0649,1.5538 (0.7877;3.0649),0.546935439553649
K10110,0.205344088515694,23,28,Control,-1.27,-0.9821,2.6073,-0.204176048784986,0.188470198878448,1.5706,0.8106,3.0431,1.5706 (0.8106;3.0431),0.546935439553649
K10111,0.953534228789383,26,25,Case,0.06,1.9275,-0.0411,0.180417930297076,-0.166539627966531,0.1833,0.0076,4.4074,0.1833 (0.0076;4.4074),0.996198680481542
K10112,0.19844192302749,23,28,Control,-1.29,-1.9913,3.1118,-0.161849582140736,0.149399614283756,1.3914,0.7697,2.5151,1.3914 (0.7697;2.5151),0.542697619179802
K10116,0.540711071253502,24,27,Control,-0.61,-0.7883,2.7441,-0.187121275910038,0.172727331609266,1.5618,0.7553,3.2296,1.5618 (0.7553;3.2296),0.859984312384812
K10117,0.0110207695595817,20,30,Control,-2.51,-0.3193,1.7638,-0.405496839084093,0.374304774539162,2.6352,1.2547,5.5345,2.6352 (1.2547;5.5345),0.241203117614782
K10118,0.0378489319091801,21,30,Control,-2.07,-0.8555,2.1763,-0.237015621768701,0.218783650863416,1.7681,0.8458,3.6961,1.7681 (0.8458;3.6961),0.282694933822692
K10119,0.0691680989243748,22,29,Control,-1.82,-0.6291,2.2094,-0.286362522535211,0.264334636186349,1.9482,0.9623,3.944,1.9482 (0.9623;3.944),0.350202446806294
K10120,0.205344088515694,28,23,Case,1.27,2.2973,-0.9646,0.205924188233165,-0.190083866061383,0.6061,0.2837,1.295,0.6061 (0.2837;1.295),0.546935439553649
K10121,0.583084454923716,27,24,Case,0.55,3.6882,-1.9879,0.118235804344416,-0.109140742471768,0.7835,0.4268,1.4382,0.7835 (0.4268;1.4382),0.885658009911158
K10122,0.664882949086388,26,25,Case,0.44,3.4422,-1.9354,0.113243563433519,-0.104532520092479,0.7888,0.4232,1.4703,0.7888 (0.4232;1.4703),0.929512978573508
K10188,0.0146886468913997,20,30,Control,-2.42,-0.4077,1.8084,-0.347443832928982,0.320717384242137,2.3262,1.0885,4.9712,2.3262 (1.0885;4.9712),0.241203117614782
K10189,0.0378489319091801,21,30,Control,-2.07,-0.7475,1.9824,-0.259237712767075,0.239296350246531,1.9114,0.8841,4.1323,1.9114 (0.8841;4.1323),0.282694933822692
K10190,0.109631975674831,22,29,Control,-1.6,-0.7837,2.1532,-0.244672895537281,0.225851903572875,1.8001,0.8602,3.7668,1.8001 (0.8602;3.7668),0.435428765577774
K10192,0.446432410141506,24,27,Control,-0.77,-30.1547,24.822,-0.0140660344248218,0.0129840317767584,1.028,0.5865,1.8021,1.028 (0.5865;1.8021),0.779177063663125
K10193,0.219658488084314,23,28,Control,-1.23,-3.3629,3.9522,-0.100022927150627,0.0923288558313482,1.2255,0.6804,2.2075,1.2255 (0.6804;2.2075),0.563689818736915
K10194,0.349431245115393,23,27,Control,-0.94,-2.7873,3.5305,-0.125606433321265,0.11594439998886,1.2925,0.7149,2.337,1.2925 (0.7149;2.337),0.703872257185845
K10195,0.675821564311666,26,25,Case,0.42,-3.1692,5.6303,-0.073405376333344,0.0677588089230868,1.1596,0.6481,2.0748,1.1596 (0.6481;2.0748),0.937505873719264
K10200,0.00191288800905384,19,32,Control,-3.04,-0.3307,1.6176,-0.427447274651199,0.394566715062645,3.0453,1.3261,6.9931,3.0453 (1.3261;6.9931),0.14430155747048
K10201,0.00723445291042608,20,31,Control,-2.65,-0.5595,1.8767,-0.330736029314894,0.305294796290672,2.1793,1.0536,4.5081,2.1793 (1.0536;4.5081),0.239162502097615
K10202,0.401585867762527,24,27,Control,-0.84,6.1094,-3.4591,0.0442595015019828,-0.0408549244633687,0.9158,0.5155,1.6266,0.9158 (0.5155;1.6266),0.744855635915974
K10227,0.162735536726606,23,28,Control,-1.4,-0.5964,2.3666,-0.223049023484998,0.205891406293844,1.8263,0.7748,4.3047,1.8263 (0.7748;4.3047),0.510935037096942
K10243,1.16120880784975e-05,16,34,Control,-4.38,0,1.4882,-0.40684332558909,0.37554768515916,65136.7071,18.5122,229188793.9196,65136.7071 (18.5122;229188793.9196),0.0130519870002312
K10439,0.242424509473753,23,28,Control,-1.17,-2.0147,3.4138,-0.129577153815123,0.119609680444729,1.3065,0.7165,2.3824,1.3065 (0.7165;2.3824),0.591074075159433
K10440,0.078772012962188,22,29,Control,-1.76,-0.8664,2.2763,-0.248898532829068,0.229752491842216,1.7369,0.8917,3.3833,1.7369 (0.8917;3.3833),0.377130857945886
K10441,0.109631975674831,22,29,Control,-1.6,-1.635,2.9054,-0.171456662322191,0.158267688297407,1.4386,0.7711,2.684,1.4386 (0.7711;2.684),0.435428765577774
K10532,0.458065825779274,27,24,Case,0.75,3.9325,-2.6462,0.130413179260803,-0.120381396240741,0.7718,0.4359,1.3664,0.7718 (0.4359;1.3664),0.790884774463754
K10537,0.824850115000099,25,26,Control,-0.22,2.0161,-0.1475,0.170158199256889,-0.157069107006359,0.3709,0.0255,5.4041,0.3709 (0.0255;5.4041),0.989676920858447
K10538,0.883874528890119,25,26,Control,-0.15,2.2666,-0.3036,0.156024982921089,-0.144023061157929,0.5961,0.1594,2.2288,0.5961 (0.1594;2.2288),0.989676920858447
K10539,0.446432410141506,24,27,Control,-0.77,2.0959,-0.1508,0.164212192650376,-0.151580485523424,0.481,0.0587,3.9429,0.481 (0.0587;3.9429),0.779177063663125
K10540,0.128226419443286,22,29,Control,-1.52,-0.8008,2.4393,-0.249667143345129,0.230461978472427,1.7001,0.9065,3.1886,1.7001 (0.9065;3.1886),0.460468036595059
K10541,0.109631975674831,22,29,Control,-1.6,-1.0515,2.598,-0.225803190190543,0.20843371402204,1.5999,0.8696,2.9434,1.5999 (0.8696;2.9434),0.435428765577774
K10542,0.160501491044013,22,28,Control,-1.41,-1.597,3.0795,-0.170949457385284,0.157799499124878,1.4267,0.7776,2.6176,1.4267 (0.7776;2.6176),0.506751898689524
K10543,0.69310975436134,26,25,Case,0.4,2.0681,-0.2011,0.160825747128842,-0.148454535811239,0.5031,0.065,3.8926,0.5031 (0.065;3.8926),0.942025833013478
K10544,0.543993635325268,24,27,Control,-0.61,1.9491,-0.0047,0.184631185594521,-0.170428786702635,0.2323,0.0124,4.3634,0.2323 (0.0124;4.3634),0.859984312384812
K10545,0.434965980721867,24,27,Control,-0.79,2.1369,-0.0886,0.152790789626205,-0.141037651962651,0.5633,0.0988,3.213,0.5633 (0.0988;3.213),0.77603454338314
K10546,0.039738255822051,21,30,Control,-2.05,-2.2765,2.647,-0.164809857359138,0.15213217602382,1.4,0.7743,2.5312,1.4 (0.7743;2.5312),0.282694933822692
K10547,0.349431245115393,23,27,Control,-0.94,-3.2166,4.2586,-0.10892643281661,0.100547476446102,1.2433,0.6996,2.2097,1.2433 (0.6996;2.2097),0.703872257185845
K10548,0.250362799164942,23,28,Control,-1.16,-2.4796,3.6432,-0.133641571624636,0.123361450730433,1.3095,0.7314,2.3448,1.3095 (0.7314;2.3448),0.602586266084357
K10549,0.609838760470472,24,27,Control,-0.51,3.0852,-0.8516,0.100217229272519,-0.0925082116361718,0.7994,0.3999,1.5981,0.7994 (0.3999;1.5981),0.894854786904452
K10550,0.721761172145987,25,26,Control,-0.36,2.0685,-0.0364,0.158025954950027,-0.145870112261563,0.4901,0.0445,5.4002,0.4901 (0.0445;5.4002),0.942229451210324
K10551,0.369764612824605,24,27,Control,-0.9,2.2356,-0.1253,0.145526836716481,-0.134332464661367,0.6285,0.1735,2.2769,0.6285 (0.1735;2.2769),0.725332329519819
K10555,0.172498193748909,28,23,Case,1.37,1.7518,-0.0528,0.198555039297883,-0.183281574736507,0.0807,0.0029,2.2658,0.0807 (0.0029;2.2658),0.515659494079185
K10556,0.390803907241872,27,24,Case,0.86,1.8258,-0.1338,0.185679416822234,-0.171396384758985,0.2174,0.0143,3.3108,0.2174 (0.0143;3.3108),0.734554501237231
K10557,0.359509277766631,28,24,Case,0.92,1.835,-0.0606,0.185875942157314,-0.171577792760597,0.1372,0.0054,3.4733,0.1372 (0.0054;3.4733),0.716468844343428
K10558,0.390803907241872,27,24,Case,0.86,1.7853,-0.0424,0.191519041615971,-0.176786807645512,0.1028,0.0038,2.7797,0.1028 (0.0038;2.7797),0.734554501237231
K10559,0.310902987491349,23,28,Control,-1.02,3.0081,-0.8247,0.102057619415668,-0.0942070333067706,0.7958,0.3972,1.5944,0.7958 (0.3972;1.5944),0.66436303790927
K10560,0.423668337458815,24,27,Control,-0.81,3.253,-1.1402,0.102835680218359,-0.0949252432784848,0.799,0.4105,1.5551,0.799 (0.4105;1.5551),0.764371125688135
K10561,0.401585867762527,24,27,Control,-0.84,2.9221,-0.8939,0.115432383402434,-0.106552969294554,0.7694,0.3787,1.5631,0.7694 (0.3787;1.5631),0.744855635915974
K10562,0.71025822484877,26,25,Case,0.37,4.7824,-3.482,0.0838667074530677,-0.0774154222643702,0.8467,0.4779,1.5002,0.8467 (0.4779;1.5002),0.942229451210324
K10599,0.106405438459398,22,28,Control,-1.61,-0.2857,2.0012,-0.264216026761265,0.243891717010398,2.5142,0.7844,8.0589,2.5142 (0.7844;8.0589),0.434908046648594
K10798,0.216222282558761,23,28,Control,-1.24,2.3395,-0.2612,0.1223326578606,-0.112922453409784,0.7309,0.3045,1.7545,0.7309 (0.3045;1.7545),0.563689818736915
K10843,0.506228271280028,24,27,Control,-0.67,-2.3767,3.7697,-0.123180616290573,0.113705184268221,1.287,0.7102,2.332,1.287 (0.7102;2.332),0.825835380143326
K10844,0.0552756379895714,21,29,Control,-1.91,-0.2652,1.8973,-0.348089960245141,0.321313809457054,2.4852,1.0825,5.7055,2.4852 (1.0825;5.7055),0.321300219230542
K10866,0.0661849932833277,22,29,Control,-1.84,-0.5689,2.1192,-0.265974775839362,0.245515177697873,2.0252,0.8748,4.6882,2.0252 (0.8748;4.6882),0.346008988141676
K10984,0.74125494174082,26,25,Case,0.33,1.943,-0.07,0.185367312852894,-0.171108288787287,0.2187,0.0132,3.623,0.2187 (0.0132;3.623),0.953353727816876
K10985,0.891875037714468,26,25,Case,0.14,2.2688,-0.3702,0.163664684566728,-0.151075093446211,0.5999,0.1885,1.9093,0.5999 (0.1885;1.9093),0.989676920858447
K10986,0.838433207720566,26,25,Case,0.2,1.9651,-0.043,0.177263780883427,-0.163628105430856,0.2263,0.0094,5.4314,0.2263 (0.0094;5.4314),0.989676920858447
K11003,0.210173652565193,23,28,Control,-1.25,-0.4913,2.3409,-0.166030109664292,0.153258562767039,1.6558,0.5871,4.6698,1.6558 (0.5871;4.6698),0.556539342448835
K11004,0.201010944360709,23,28,Control,-1.28,-0.1005,1.9006,-0.278535251234287,0.257109462677803,4.2856,0.6284,29.2291,4.2856 (0.6284;29.2291),0.546935439553649
K11069,0.839868412093286,26,25,Case,0.2,11.347,-10.0737,0.0374366024890781,-0.0345568638360716,0.9291,0.5301,1.6286,0.9291 (0.5301;1.6286),0.989676920858447
K11070,0.227073386236008,28,23,Case,1.21,3.8469,-2.8727,0.117347185299709,-0.108320478738193,0.7906,0.4437,1.4085,0.7906 (0.4437;1.4085),0.577444538754011
K11071,0.992323823710657,25,26,Control,-0.01,-8.115,8.468,-0.0472759139135214,0.043639305150943,1.0975,0.6251,1.9269,1.0975 (0.6251;1.9269),1
K11072,0.870072108910591,25,26,Control,-0.17,-4.0947,5.8217,-0.0760879894318349,0.0702350671678477,1.1623,0.659,2.05,1.1623 (0.659;2.05),0.989676920858447
K11073,0.793158587407438,25,26,Control,-0.26,1.863,0,0.189444278941264,-0.174871642099629,0.0945,0.0021,4.1687,0.0945 (0.0021;4.1687),0.972347759189711
K11074,0.763315598515775,25,26,Control,-0.3,1.8785,-0.0307,0.19102412139226,-0.17632995820824,0.1491,0.006,3.7129,0.1491 (0.006;3.7129),0.962384248471646
K11075,0.70480624868735,26,25,Case,0.38,1.8715,-0.0062,0.17500425832024,-0.161542392295606,0.1113,0.0018,6.9528,0.1113 (0.0018;6.9528),0.942229451210324
K11076,0.566228834243243,24,27,Control,-0.57,1.9182,-0.0347,0.173149054400414,-0.159829896369613,0.1449,0.0028,7.6139,0.1449 (0.0028;7.6139),0.875024742902324
K11081,0.973378260843833,26,25,Case,0.03,124.7917,-136.5863,0.00224091958316955,-0.00206854115369503,0.9956,0.5685,1.7435,0.9956 (0.5685;1.7435),0.99647828572355
K11084,0.88301140777876,26,25,Case,0.15,-2.328,4.8817,-0.0670581129796374,0.0618997965965884,1.1493,0.6273,2.1057,1.1493 (0.6273;2.1057),0.989676920858447
K11175,0.423668337458815,24,27,Control,-0.81,-3.2776,3.4776,-0.124851544096514,0.115247579166013,1.2804,0.7251,2.2609,1.2804 (0.7251;2.2609),0.764371125688135
K11176,0.0164273422822571,20,30,Control,-2.38,-0.4384,1.8418,-0.364284361965769,0.336262487968402,2.3094,1.1429,4.6661,2.3094 (1.1429;4.6661),0.242798568658306
K11191,0.922497395743006,25,26,Control,-0.1,1.8884,-0.0453,0.182113027766309,-0.168104333322747,0.1507,0.005,4.5537,0.1507 (0.005;4.5537),0.992208704748446
K11198,0.397643105490889,27,24,Case,0.85,1.9818,-0.2189,0.185588533987707,-0.17131249291173,0.4168,0.0643,2.7034,0.4168 (0.0643;2.7034),0.744855635915974
K11201,0.195687786892979,28,23,Case,1.29,1.8279,-0.2559,0.219348875549707,-0.202475885122807,0.3465,0.0587,2.0438,0.3465 (0.0587;2.0438),0.542697619179802
K11202,0.780191941046138,25,26,Control,-0.28,1.9557,-0.0732,0.169688557861569,-0.156635591872218,0.2373,0.0065,8.7169,0.2373 (0.0065;8.7169),0.963665650259186
K11203,0.854944173276674,25,26,Control,-0.18,2.0906,-0.1402,0.161102999746074,-0.148710461304069,0.4925,0.0573,4.2339,0.4925 (0.0573;4.2339),0.989676920858447
K11212,0.225400039798757,23,28,Control,-1.21,4.6829,-2.3652,0.0614371080634118,-0.0567111766739185,0.8829,0.4879,1.5976,0.8829 (0.4879;1.5976),0.574488990326084
K11258,0.860311153092791,26,25,Case,0.18,1.8091,0,0.187182450245116,-0.172783800226261,0.0369,3e-04,4.2129,0.0369 (3e-04;4.2129),0.989676920858447
K11261,0.310902987491349,23,28,Control,-1.02,-2.2331,2.9247,-0.172151389179913,0.158908974627612,1.4113,0.7928,2.5124,1.4113 (0.7928;2.5124),0.66436303790927
K11262,0.205094800426858,28,23,Case,1.27,-1.4855,4.2759,-0.100747615423223,0.0929977988522056,1.2363,0.666,2.2951,1.2363 (0.666;2.2951),0.546935439553649
K11358,0.0227450588424616,21,30,Control,-2.26,-0.3592,1.8659,-0.377651372739786,0.348601267144418,2.4657,1.1833,5.138,2.4657 (1.1833;5.138),0.242798568658306
K11381,0.283886478397828,23,28,Control,-1.08,-2.8436,4.1248,-0.1044652979892,0.0964295058361841,1.2376,0.6851,2.2355,1.2376 (0.6851;2.2355),0.647238137361377
K11533,0.000773217986853002,18,32,Control,-3.36,0,1.6155,-0.395844010585639,0.365394471309821,99.5482,1.3427,7380.2845,99.5482 (1.3427;7380.2845),0.0965663352469749
K11604,0.217506279200438,23,28,Control,-1.23,6.981,-4.0163,0.0647807005356154,-0.0597975697251834,0.8803,0.5005,1.5482,0.8803 (0.5005;1.5482),0.563689818736915
K11605,0.232376390120288,23,28,Control,-1.19,-5.2988,6.0976,-0.0601956148102149,0.0555651829017368,1.1275,0.6362,1.9983,1.1275 (0.6362;1.9983),0.583539268861877
K11606,0.559865104077682,24,27,Control,-0.58,-2.0833,4.0981,-0.114352502063187,0.105556155750634,1.2648,0.6963,2.2972,1.2648 (0.6963;2.2972),0.867983968252848
K11607,0.307935548635905,23,28,Control,-1.02,-24.5022,22.6183,-0.015332691604807,0.0141532537890527,1.0306,0.5878,1.807,1.0306 (0.5878;1.807),0.66436303790927
K11627,0.562450907509848,27,24,Case,0.58,11.7554,-12.7997,0.0347225935312429,-0.0320516247980703,0.9341,0.5332,1.6366,0.9341 (0.5332;1.6366),0.870791763141969
K11631,0.463833227414328,27,24,Case,0.73,3.4715,-2.0765,0.113240977412648,-0.104530132996291,0.7948,0.4394,1.4376,0.7948 (0.4394;1.4376),0.799614336830835
K11632,0.0383887783866691,21,29,Control,-2.07,-0.6215,2.2099,-0.176528360727759,0.162949256056393,1.8208,0.5662,5.855,1.8208 (0.5662;5.855),0.282694933822692
K11636,0.851219726067463,26,25,Case,0.19,4.5438,-3.6623,0.0804327279912795,-0.0742455950688733,0.8505,0.4736,1.5272,0.8505 (0.4736;1.5272),0.989676920858447
K11707,0.168050491420835,23,28,Control,-1.38,-0.0081,1.9449,-0.298327911039266,0.275379610190091,3.7065,0.6229,22.0544,3.7065 (0.6229;22.0544),0.514683248929206
K11708,0.0730501036964285,22,29,Control,-1.79,0,1.7991,-0.289419128096385,0.267156118242817,18.8591,0.5314,669.3188,18.8591 (0.5314;669.3188),0.362750002666573
K11709,0.285667420973663,23,28,Control,-1.07,-0.0522,1.9617,-0.240935313676743,0.222401828009301,5.6336,0.6209,51.1171,5.6336 (0.6209;51.1171),0.649980123834812
K11710,0.000409117089634085,18,32,Control,-3.53,-0.0435,1.6115,-0.367715603388728,0.339429787743441,20.4937,1.412,297.447,20.4937 (1.412;297.447),0.0919695217497423
K11720,0.0480973723680217,30,22,Case,1.97,2.0476,-1.0588,0.267424446061822,-0.246853334826298,0.5714,0.3081,1.0596,0.5714 (0.3081;1.0596),0.303187634616318
K11752,0.301718405696185,28,23,Case,1.04,6.3175,-6.8878,0.05947229451932,-0.0548975026332192,0.8895,0.506,1.5635,0.8895 (0.506;1.5635),0.654693992282842
K11753,0.915715300438421,25,26,Control,-0.11,-18.1781,16.0886,-0.0228821912285249,0.0211220226724858,1.0459,0.597,1.8324,1.0459 (0.597;1.8324),0.989676920858447
K11754,0.020441496121948,21,30,Control,-2.3,-0.9649,1.7905,-0.302545531249123,0.279272798076112,1.8902,1.0149,3.5204,1.8902 (1.0149;3.5204),0.242798568658306
K11755,0.596394520949954,24,27,Control,-0.53,-3.1827,4.5125,-0.101560395720307,0.0937480575879749,1.2231,0.6921,2.1616,1.2231 (0.6921;2.1616),0.894854786904452
K11891,0.678941086483524,26,25,Case,0.42,1.8468,-0.012,0.245707341930088,-0.226806777166235,0.2388,0.0136,4.2003,0.2388 (0.0136;4.2003),0.937505873719264
K11892,0.899356036811691,26,25,Case,0.13,1.8641,-0.0329,0.232976479232539,-0.215055211599267,0.3007,0.0203,4.4535,0.3007 (0.0203;4.4535),0.989676920858447
K11903,0.839868412093286,25,26,Control,-0.2,2.2194,-0.2539,0.198354117658377,-0.183096108607732,0.5847,0.2278,1.5012,0.5847 (0.2278;1.5012),0.989676920858447
K11904,0.854944173276674,26,25,Case,0.18,-12.7727,16.9565,-0.0275549714194237,0.0254353582333143,1.0557,0.6017,1.8523,1.0557 (0.6017;1.8523),0.989676920858447
K11906,0.907170399094034,26,25,Case,0.12,1.8502,-0.0327,0.223193861579252,-0.206025102996233,0.2035,0.0121,3.4088,0.2035 (0.0121;3.4088),0.989676920858447
K11907,0.945808801995144,26,25,Case,0.07,1.9301,-0.0885,0.200039795852856,-0.18465211924879,0.3068,0.0321,2.9316,0.3068 (0.0321;2.9316),0.992208704748446
K11912,0.596394520949954,27,24,Case,0.53,3.374,-1.7791,0.167774974119485,-0.154869206879525,0.7149,0.4008,1.2754,0.7149 (0.4008;1.2754),0.894854786904452
K12234,0.595947602768314,24,26,Control,-0.53,-16.1151,16.8211,-0.0205417820696163,0.0189616449873382,1.0413,0.593,1.8286,1.0413 (0.593;1.8286),0.894854786904452
K12257,0.234661698866164,28,23,Case,1.19,4.1373,-2.279,0.123761265487869,-0.114241168142648,0.7803,0.4377,1.3912,0.7803 (0.4377;1.3912),0.583539268861877
K12339,0.329809533579703,23,27,Control,-0.98,6.2248,-3.2457,0.0527834700613023,-0.0487232031335098,0.8999,0.5043,1.6058,0.8999 (0.5043;1.6058),0.678948563632942
K12340,0.329809533579703,28,24,Case,0.98,3.7887,-3.3625,0.119648011087924,-0.110444317927314,0.7886,0.4459,1.3945,0.7886 (0.4459;1.3945),0.678948563632942
K12368,0.946305810934461,26,25,Case,0.07,2.1993,-0.291,0.155111784376045,-0.143180108654811,0.5891,0.1453,2.3882,0.5891 (0.1453;2.3882),0.992208704748446
K12369,0.57993662079905,24,27,Control,-0.55,2.0585,-0.1449,0.176379575319415,-0.16281191567946,0.39,0.0412,3.6902,0.39 (0.0412;3.6902),0.885658009911158
K12370,0.97675725477859,26,25,Case,0.03,2.0966,-0.2125,0.177711142606792,-0.164041054713962,0.4374,0.0652,2.9362,0.4374 (0.0652;2.9362),0.99647828572355
K12371,0.741308859530204,25,26,Control,-0.33,2.0257,-0.1035,0.17685179583045,-0.1632478115358,0.3489,0.0293,4.1517,0.3489 (0.0293;4.1517),0.953353727816876
K12372,0.627341974460147,24,26,Control,-0.49,2.2538,-0.247,0.15708942729075,-0.145005625191462,0.585,0.1464,2.3385,0.585 (0.1464;2.3385),0.901703809837858
K12373,0.854944173276674,26,25,Case,0.18,-533.0776,480.4808,-0.000862040938059404,0.000795730096670391,1.0017,0.5719,1.7544,1.0017 (0.5719;1.7544),0.989676920858447
K12506,0.0227450588424616,21,30,Control,-2.26,-0.3424,1.8314,-0.375356507203875,0.346482929726654,2.4993,1.1749,5.3167,2.4993 (1.1749;5.3167),0.242798568658306
K12524,0.0155370319288588,31,21,Case,2.4,1.5508,-0.7712,0.367889588436445,-0.339590389325949,0.4441,0.2284,0.8635,0.4441 (0.2284;0.8635),0.242550331778296
K12525,0.938072883281704,25,26,Control,-0.08,1.8843,-0.0481,0.189112517545351,-0.174565400811093,0.1422,0.0057,3.5602,0.1422 (0.0057;3.5602),0.992208704748446
K12536,0.379517677309057,24,27,Control,-0.88,-0.3765,2.3533,-0.24336259558328,0.224642395923028,1.8979,0.8146,4.4219,1.8979 (0.8146;4.4219),0.733003134723347
K12543,0.775588255771764,25,26,Control,-0.29,-16.6604,18.9938,-0.0183013116212188,0.0168935184195866,1.0367,0.5907,1.8194,1.0367 (0.5907;1.8194),0.963665650259186
K12733,0.808196591066294,25,26,Control,-0.24,-2143.8276,1674.7701,-0.00021132137571812,0.000195065885278289,1.0004,0.5712,1.7522,1.0004 (0.5712;1.7522),0.985196349030558
K12854,0.946305810934461,26,25,Case,0.07,-2.8803,5.2717,-0.100513797902531,0.0927819672946436,1.2231,0.6872,2.1771,1.2231 (0.6872;2.1771),0.992208704748446
K13038,0.780191941046138,25,26,Control,-0.28,-4.8297,5.6416,-0.0814622216516559,0.0751958969092203,1.1741,0.668,2.0638,1.1741 (0.668;2.0638),0.963665650259186
K13301,0.914775333508474,25,26,Control,-0.11,1.8636,0,0.181116606959987,-0.167184560270757,0.0756,0.0011,5.3864,0.0756 (0.0011;5.3864),0.989676920858447
K13410,0.992323823710657,25,26,Control,-0.01,-34.7521,36.7348,-0.0114801354849179,0.0105970481399242,1.0228,0.5836,1.7926,1.0228 (0.5836;1.7926),1
K13497,0.707384603182297,25,26,Control,-0.38,3.439,-1.1874,0.13877738068213,-0.128102197552735,0.7465,0.3982,1.3997,0.7465 (0.3982;1.3997),0.942229451210324
K13498,0.736234900362807,25,26,Control,-0.34,9.1341,-7.7551,0.034188835652899,-0.0315589252180607,0.9349,0.5317,1.6439,0.9349 (0.5317;1.6439),0.9522762117466
K13500,0.160501491044013,22,28,Control,-1.41,-1.8204,2.7999,-0.1811414646977,0.1672075058748,1.4449,0.802,2.6031,1.4449 (0.802;2.6031),0.506751898689524
K13527,0.000770621409771619,18,32,Control,-3.36,0,1.5629,-0.394366788161903,0.364030881380219,633.1972,2.3231,172585.2207,633.1972 (2.3231;172585.2207),0.0965663352469749
K13542,0.172498193748909,23,28,Control,-1.37,-3.7354,4.108,-0.106357483446316,0.0981761385658298,1.2361,0.6974,2.1908,1.2361 (0.6974;2.1908),0.515659494079185
K13571,0.000398165902504875,18,33,Control,-3.54,0,1.5868,-0.408966483803117,0.377507523510569,126.4867,1.8097,8840.3961,126.4867 (1.8097;8840.3961),0.0919695217497423
K13786,0.571724529545683,24,27,Control,-0.57,-1.9926,3.8136,-0.117232839469671,0.108214928741234,1.2755,0.6958,2.3384,1.2755 (0.6958;2.3384),0.879094899055195
K13787,0.0213746600167561,21,30,Control,-2.3,-0.2981,1.8052,-0.373069794776188,0.344372118254943,3.1106,1.2517,7.7302,3.1106 (1.2517;7.7302),0.242798568658306
K13788,0.143682973365797,22,28,Control,-1.47,-2.498,3.5125,-0.127912139217516,0.118072743893092,1.2969,0.7201,2.3359,1.2969 (0.7201;2.3359),0.492377018485231
K13789,0.38019646578622,24,27,Control,-0.88,-3.2498,2.7749,-0.122108161640704,0.112715226129879,1.2798,0.712,2.3004,1.2798 (0.712;2.3004),0.733003134723347
K13829,0.000215521357103599,18,33,Control,-3.7,0,1.489,-0.431053320689501,0.397895372944155,109.4414,2.9811,4017.8372,109.4414 (2.9811;4017.8372),0.0807486684614818
K13831,0.178737668236209,23,28,Control,-1.35,16.4552,-9.9033,0.028386421895739,-0.0262028509806823,0.9458,0.5398,1.6574,0.9458 (0.5398;1.6574),0.516455370430589
