,p.value,Case_rank,Control_rank,Enrichment,qnorm,Case_Mean1,Control_Mean1,Case_Mean2,Control_Mean2,OR,lower,uper,com,FDR
K01520,0.930998043449749,26,25,Case,0.09,3.6645,-1.7098,0.120516246566176,-0.111245766061085,0.7794,0.4236,1.4341,0.7794 (0.4236;1.4341),0.992208704748446
K01523,0.0173612295626442,20,30,Control,-2.36,-1.4574,2.4048,-0.196197862187094,0.181105718941933,1.5393,0.801,2.958,1.5393 (0.801;2.958),0.242798568658306
K01557,0.915715300438421,25,26,Control,-0.11,14.4986,-13.4926,0.0298739944838296,-0.0275759949081506,0.9431,0.5383,1.6522,0.9431 (0.5383;1.6522),0.989676920858447
K01565,0.945657444905559,26,25,Case,0.07,-0.4558,2.5249,-0.205370516562405,0.189572784519143,1.7088,0.7349,3.9737,1.7088 (0.7349;3.9737),0.992208704748446
K01574,0.0536502167948678,21,29,Control,-1.93,-0.2546,1.9122,-0.334599838042224,0.308861388962053,2.4513,1.0475,5.7366,2.4513 (1.0475;5.7366),0.320759806794848
K01579,0.205344088515694,28,23,Case,1.27,2.9631,-1.6412,0.181075172038194,-0.167146312650642,0.6946,0.3877,1.2446,0.6946 (0.3877;1.2446),0.546935439553649
K01580,0.961633067902556,25,26,Control,-0.05,-414.4157,420.0915,-0.00110253761965451,0.00101772703352733,1.0022,0.5722,1.7553,1.0022 (0.5722;1.7553),0.996198680481542
K01581,0.900463086624313,26,25,Case,0.13,5.9286,-4.5876,0.0591089778836319,-0.0545621334310449,0.8896,0.5034,1.5723,0.8896 (0.5034;1.5723),0.989676920858447
K01583,0.266769187406626,23,28,Control,-1.12,-0.7211,2.3222,-0.240266477970454,0.221784441203496,1.745,0.8632,3.5279,1.745 (0.8632;3.5279),0.625904407241043
K01584,0.160501491044013,29,23,Case,1.41,1.7269,-0.0462,0.230496096008852,-0.212765627085095,0.1099,0.0068,1.7645,0.1099 (0.0068;1.7645),0.506751898689524
K01585,0.0294900839408638,30,21,Case,2.17,1.7453,-1.007,0.301286414812515,-0.278110536750014,0.5286,0.2823,0.9896,0.5286 (0.2823;0.9896),0.263070272615325
K01586,0.390803907241872,24,27,Control,-0.86,-5.8297,6.7328,-0.0637283972633868,0.0588262128585113,1.1342,0.644,1.9976,1.1342 (0.644;1.9976),0.734554501237231
K01588,0.339531161971321,28,24,Case,0.96,2.9551,-1.2712,0.178756296414739,-0.165005812075143,0.6879,0.3708,1.2761,0.6879 (0.3708;1.2761),0.691364177637255
