ID,KO_sum,Case_KO_Num,Control_KO_Num,NS;Case;Control,zscore_two,zscore_less,zscore_greater,zscore_adj_two,zscore_adj_less,zscore_adj_greater
M00076,4,4,4,4; 0; 0,-0.803054009210121,0.385675887347507,-0.424276858817894,-0.951616362481617,-0.590243607720835,0.642831820920571
M00077,4,4,4,4; 0; 0,-1.12692565353381,0.208903850985303,-0.247556845174478,-1.17338087258228,-0.740648550838229,0.791469569775776
M00078,7,7,7,6; 1; 0,-1.42807602917501,0.665928331138596,-0.717117220080215,-1.36413005459357,-0.666323591964162,0.643235490298046
M00079,3,3,3,3; 0; 0,-1.60894821958538,0.179746589703049,-0.213192279946357,-1.61036991121159,-0.644328841001132,0.631399620618771
M00080,15,15,15,15; 0; 0,-0.117811116809422,-1.75589531007786,1.68052715932229,-0.843557517752168,-3.17194348705267,3.2141524889336
M00081,3,3,3,3; 0; 0,0.228617576966403,-0.94772825789214,0.913577488730435,-0.249596381599626,-1.56521923513567,1.58572108276451
M00082,10,10,10,9; 1; 0,0.337080576785288,1.30252698233203,-1.36417060321147,-0.393059968636657,-0.343011197899425,0.359573389299212
M00083,8,8,8,6; 1; 1,1.95813884052279,1.40182119389829,-1.45712775478328,0.807404534421443,-0.131056542506582,0.136842753282533
M00086,1,1,1,1; 0; 0,0.221013063397258,-0.838792308231865,0.819429989254367,-0.0512561803231593,-1.16966870285436,1.13824744299662
M00087,7,7,7,7; 0; 0,-2.42931693680567,0.444779638403409,-0.496980742100487,-2.01750460714835,-0.847305171199211,0.825514276659928
M00088,5,5,5,4; 1; 0,3.03384835337324,3.85434967607515,-3.89823208468293,1.72287279554849,2.18339758785021,-2.237217041963
M00089,4,4,4,1; 3; 0,2.22813758365672,3.48157417631613,-3.52156282569048,1.12393032521028,2.0438744102188,-1.96226991139198
M00090,1,1,1,1; 0; 0,1.01631185874206,1.42298517943004,-1.44259367018148,0.48746819457848,0.718742608283326,-0.774757502607142
M00091,1,1,1,0; 1; 0,2.13385460308242,2.39928012406147,-2.41961301456726,1.24447615170685,1.5338742587245,-1.60102774516804
M00092,1,1,1,1; 0; 0,-0.0747061916284526,-0.649293303091397,0.628348357830385,-0.251572302694544,-1.01145151893212,0.976648732742954
M00093,3,3,3,1; 0; 2,2.15815047631445,-2.92061104224858,2.88621876526756,1.17928159320559,-3.17661554144116,3.25645627609924
M00094,1,1,1,1; 0; 0,-8.20953,-0.0194347295078171,0,-5.76198913816822,-0.485567756598869,0.445251321810781
M00095,6,6,6,5; 1; 0,2.72867985453779,3.36333206707447,-3.41113864825185,1.39026514942031,1.68085030104897,-1.7426350259059
M00096,9,9,9,8; 1; 0,1.36306674170431,-0.39318984508692,0.334659107205604,0.339833635444784,-1.70806643735406,1.69137621190154
M00097,1,1,1,1; 0; 0,1.10427984797787,1.495684540193,-1.51549493145384,0.547056490562091,0.779441017355905,-0.836410471077666
M00098,2,2,2,2; 0; 0,-0.828864623075199,1.15200299918034,-1.17955296781565,-0.783542850967763,0.278257946723092,-0.306875714651754
M00099,1,1,1,1; 0; 0,-8.20953,-0.0194347295078171,0,-5.76198913816822,-0.485567756598869,0.445251321810781
M00101,2,2,2,2; 0; 0,-0.0926339900018232,1.01893037528025,-1.04726483489806,-0.303416059052062,0.167359664248596,-0.198432483347543
M00102,1,1,1,1; 0; 0,-0.0240944161475367,0.659442978131158,-0.679127843150001,-0.217288587859043,0.0812432356309293,-0.129090558842751
M00104,2,2,2,2; 0; 0,0.656708814784061,1.43467901882771,-1.46218512938587,0.185261728511692,0.513830705092659,-0.538563502476707
M00105,2,2,2,2; 0; 0,0.656708814784061,1.43467901882771,-1.46218512938587,0.185261728511692,0.513830705092659,-0.538563502476707
M00106,1,1,1,1; 0; 0,0.359770780909119,0.916300553549985,-0.935693059478105,0.0427363732515594,0.295699676823,-0.34606907083054
M00107,1,1,1,1; 0; 0,-0.993917208354179,-0.221311219073683,0.202061798641593,-0.874233097966556,-0.654119193877096,0.616136015481653
M00110,1,1,1,1; 0; 0,-0.993917208354179,-0.221311219073683,0.202061798641593,-0.874233097966556,-0.654119193877096,0.616136015481653
M00112,2,2,2,2; 0; 0,1.02921395227483,1.68918208397421,-1.71675065776756,0.428187910337293,0.725925063662103,-0.747243660458615
M00113,1,1,1,1; 0; 0,-0.993917208354179,0.202061798641593,-0.221311219073683,-0.874233097966556,-0.300635086865976,0.258087295104206
M00114,7,7,7,6; 0; 1,0.631018503520252,-0.971043111649851,0.919541017836804,-0.0204374839899258,-2.00597282621619,1.99843150340117
M00115,6,6,6,6; 0; 0,2.58950949529264,-0.552130925601626,0.503978949726025,1.29454156872644,-1.58949453578964,1.61336130144247
M00116,9,9,9,6; 1; 2,4.53852485346702,-3.14240575560274,3.08266730603862,2.60384664854282,-3.94265166276629,3.93829272297685
M00117,9,9,9,6; 3; 0,1.6521562483075,1.93636163628416,-1.99536037464201,0.545946385751668,0.185412100361918,-0.213770667614269
M00118,2,2,2,2; 0; 0,-2.09753403092944,-0.299649795785677,0.272293444807295,-1.61089523951465,-0.931501032944301,0.88327575902837
